cliente	mes	tipo	valor						
31243	2023-06-01 00:00:00.000	OUTROS CUSTOS	-4437						
10901	2023-08-01 00:00:00.000	NADA	0						
9360	2023-05-01 00:00:00.000	SOFTWARE	-4761						
20663	2023-02-01 00:00:00.000	SOFTWARE	-2420						
9995	2023-03-01 00:00:00.000	SOFTWARE	-671						
28235	2023-05-01 00:00:00.000	NADA	0						
31253	2023-08-01 00:00:00.000	SOFTWARE	-7881						
19050	2023-07-01 00:00:00.000	MARKETING	-4739						
23814	2023-02-01 00:00:00.000	MARKETING	-7555						
27068	2023-02-01 00:00:00.000	OUTROS CUSTOS	-8788						
17057	2023-04-01 00:00:00.000	SOFTWARE	-2806						
24592	2023-04-01 00:00:00.000	SOFTWARE	-2624						
10185	2023-05-01 00:00:00.000	MARKETING	-9977						
5824	2023-04-01 00:00:00.000	OUTROS CUSTOS	-3646						
17240	2023-06-01 00:00:00.000	OUTROS CUSTOS	-7628						
12344	2023-01-01 00:00:00.000	DESPESA COM VIAGEM	-6686						
20763	2023-07-01 00:00:00.000	NADA	0						
6752	2023-07-01 00:00:00.000	SOFTWARE	-2748						
728385	2023-08-01 00:00:00.000	NADA	0						
31963	2023-09-01 00:00:00.000	NADA	0						
28303	2023-09-01 00:00:00.000	NADA	0						
31585	2023-06-01 00:00:00.000	DESPESA COM VIAGEM	-5762						
31183	2023-03-01 00:00:00.000	DESPESA COM VIAGEM	-1832						
30930	2023-08-01 00:00:00.000	NADA	0						
2797	2023-01-01 00:00:00.000	DESPESA COM VIAGEM	-7769						
13533	2023-01-01 00:00:00.000	OUTROS CUSTOS	-9355						
31639	2023-07-01 00:00:00.000	SOFTWARE	-6721						
22395	2023-07-01 00:00:00.000	MARKETING	-763						
25655	2023-01-01 00:00:00.000	NADA	0						
9335	2023-06-01 00:00:00.000	OUTROS CUSTOS	-3115						
20909	2023-01-01 00:00:00.000	NADA	0						
13719	2023-04-01 00:00:00.000	SOFTWARE	-9380						
9707	2023-07-01 00:00:00.000	OUTROS CUSTOS	-6030						
26799	2023-05-01 00:00:00.000	MARKETING	-5432						
18892	2023-04-01 00:00:00.000	NADA	0						
29442	2023-01-01 00:00:00.000	SOFTWARE	-3544						
15648	2023-09-01 00:00:00.000	NADA	0						
21904	2023-01-01 00:00:00.000	DESPESA COM VIAGEM	-3834						
29716	2023-04-01 00:00:00.000	OUTROS CUSTOS	-6040						
6606	2023-01-01 00:00:00.000	SOFTWARE	-9445						
7086	2023-02-01 00:00:00.000	SOFTWARE	-5800						
3215	2023-04-01 00:00:00.000	MARKETING	-7178						
26145	2023-07-01 00:00:00.000	OUTROS CUSTOS	-528						
12863	2023-05-01 00:00:00.000	OUTROS CUSTOS	-273						
10412	2023-06-01 00:00:00.000	OUTROS CUSTOS	-8129						
11747	2023-07-01 00:00:00.000	SOFTWARE	-9210						
27081	2023-02-01 00:00:00.000	MARKETING	-4579						
30704	2023-09-01 00:00:00.000	OUTROS CUSTOS	-7715						
29938	2023-03-01 00:00:00.000	NADA	0						
16827	2023-04-01 00:00:00.000	NADA	0						
3865	2023-03-01 00:00:00.000	DESPESA COM VIAGEM	-6320						
16507	2023-03-01 00:00:00.000	NADA	0						
27678	2023-08-01 00:00:00.000	NADA	0						
7956	2023-03-01 00:00:00.000	NADA	0						
30814	2023-05-01 00:00:00.000	NADA	0						
12003	2023-09-01 00:00:00.000	NADA	0						
29938	2023-01-01 00:00:00.000	SOFTWARE	-371						
24118	2023-06-01 00:00:00.000	MARKETING	-5480						
7790	2023-01-01 00:00:00.000	SOFTWARE	-2685						
25552	2023-03-01 00:00:00.000	MARKETING	-7000						
28163	2023-09-01 00:00:00.000	NADA	0						
30439	2023-03-01 00:00:00.000	MARKETING	-7424						
27154	2023-02-01 00:00:00.000	OUTROS CUSTOS	-8387						
29514	2023-04-01 00:00:00.000	OUTROS CUSTOS	-1951						
15741	2023-02-01 00:00:00.000	NADA	0						
9907	2023-09-01 00:00:00.000	NADA	0						
11927	2023-06-01 00:00:00.000	SOFTWARE	-8161						
1506	2023-05-01 00:00:00.000	NADA	0						
26798	2023-04-01 00:00:00.000	OUTROS CUSTOS	-523						
24730	2023-08-01 00:00:00.000	MARKETING	-1520						
22101	2023-08-01 00:00:00.000	NADA	0						
25112	2023-02-01 00:00:00.000	DESPESA COM VIAGEM	-5639						
23014	2023-05-01 00:00:00.000	MARKETING	-5872						
18382	2023-09-01 00:00:00.000	MARKETING	-8875						
26394	2023-06-01 00:00:00.000	NADA	0						
21180	2023-03-01 00:00:00.000	DESPESA COM VIAGEM	-5788						
32105	2023-09-01 00:00:00.000	NADA	0						
26085	2023-03-01 00:00:00.000	OUTROS CUSTOS	-1056						
10465	2023-02-01 00:00:00.000	SOFTWARE	-1826						
69	2023-02-01 00:00:00.000	SOFTWARE	-105						
20664	2023-03-01 00:00:00.000	NADA	0						
18662	2023-05-01 00:00:00.000	MARKETING	-6010						
12917	2023-05-01 00:00:00.000	SOFTWARE	-9458						
31544	2023-07-01 00:00:00.000	SOFTWARE	-1891						
728363	2023-07-01 00:00:00.000	NADA	0						
13326	2023-04-01 00:00:00.000	NADA	0						
25168	2023-05-01 00:00:00.000	SOFTWARE	-5849						
30041	2023-06-01 00:00:00.000	DESPESA COM VIAGEM	-9072						
19098	2023-03-01 00:00:00.000	DESPESA COM VIAGEM	-6770						
24273	2023-01-01 00:00:00.000	NADA	0						
30014	2023-01-01 00:00:00.000	NADA	0						
26960	2023-04-01 00:00:00.000	NADA	0						
31157	2023-07-01 00:00:00.000	DESPESA COM VIAGEM	-6054						
10342	2023-05-01 00:00:00.000	OUTROS CUSTOS	-3182						
22521	2023-06-01 00:00:00.000	NADA	0						
26049	2023-02-01 00:00:00.000	DESPESA COM VIAGEM	-8901						
11677	2023-04-01 00:00:00.000	SOFTWARE	-7569						
728319	2023-04-01 00:00:00.000	NADA	0						
728304	2023-02-01 00:00:00.000	NADA	0						
27271	2023-01-01 00:00:00.000	NADA	0						
18655	2023-01-01 00:00:00.000	MARKETING	-8233						
14015	2023-01-01 00:00:00.000	DESPESA COM VIAGEM	-6385						
12841	2023-01-01 00:00:00.000	NADA	0						
30331	2023-02-01 00:00:00.000	OUTROS CUSTOS	-4304						
27525	2023-03-01 00:00:00.000	SOFTWARE	-7835						
25356	2023-03-01 00:00:00.000	MARKETING	-6976						
22474	2023-03-01 00:00:00.000	DESPESA COM VIAGEM	-7399						
18655	2023-03-01 00:00:00.000	SOFTWARE	-4666						
29928	2023-05-01 00:00:00.000	DESPESA COM VIAGEM	-8615						
22941	2023-05-01 00:00:00.000	DESPESA COM VIAGEM	-2408						
11710	2023-04-01 00:00:00.000	MARKETING	-3621						
27775	2023-05-01 00:00:00.000	MARKETING	-391						
31180	2023-08-01 00:00:00.000	DESPESA COM VIAGEM	-2600						
30790	2023-09-01 00:00:00.000	NADA	0						
26156	2023-03-01 00:00:00.000	MARKETING	-5976						
19297	2023-01-01 00:00:00.000	MARKETING	-7275						
26475	2023-02-01 00:00:00.000	OUTROS CUSTOS	-2886						
24721	2023-02-01 00:00:00.000	OUTROS CUSTOS	-467						
30034	2023-02-01 00:00:00.000	MARKETING	-8302						
22179	2023-05-01 00:00:00.000	DESPESA COM VIAGEM	-5169						
25933	2023-05-01 00:00:00.000	OUTROS CUSTOS	-4375						
20872	2023-08-01 00:00:00.000	NADA	0						
9365	2023-07-01 00:00:00.000	NADA	0						
30278	2023-03-01 00:00:00.000	DESPESA COM VIAGEM	-1139						
29660	2023-04-01 00:00:00.000	MARKETING	-6382						
28853	2023-03-01 00:00:00.000	NADA	0						
17218	2023-02-01 00:00:00.000	DESPESA COM VIAGEM	-1392						
29357	2023-02-01 00:00:00.000	NADA	0						
24521	2023-02-01 00:00:00.000	SOFTWARE	-9189						
17218	2023-04-01 00:00:00.000	OUTROS CUSTOS	-7674						
30421	2023-04-01 00:00:00.000	DESPESA COM VIAGEM	-3528						
27286	2023-07-01 00:00:00.000	SOFTWARE	-7128						
29115	2023-06-01 00:00:00.000	SOFTWARE	-419						
30180	2023-05-01 00:00:00.000	NADA	0						
30789	2023-08-01 00:00:00.000	NADA	0						
30056	2023-08-01 00:00:00.000	DESPESA COM VIAGEM	-8531						
15032	2023-05-01 00:00:00.000	OUTROS CUSTOS	-8311						
12262	2023-02-01 00:00:00.000	MARKETING	-5286						
28343	2023-02-01 00:00:00.000	DESPESA COM VIAGEM	-2338						
26644	2023-07-01 00:00:00.000	SOFTWARE	-1156						
11146	2023-08-01 00:00:00.000	NADA	0						
47	2023-04-01 00:00:00.000	MARKETING	-6652						
13218	2023-04-01 00:00:00.000	OUTROS CUSTOS	-4130						
31160	2023-08-01 00:00:00.000	NADA	0						
728376	2023-01-01 00:00:00.000	SOFTWARE	-3366						
473	2023-04-01 00:00:00.000	NADA	0						
8117	2023-09-01 00:00:00.000	DESPESA COM VIAGEM	-144						
728549	2023-08-01 00:00:00.000	NADA	0						
17613	2023-04-01 00:00:00.000	OUTROS CUSTOS	-5838						
19468	2023-08-01 00:00:00.000	NADA	0						
17308	2023-04-01 00:00:00.000	MARKETING	-431						
14296	2023-03-01 00:00:00.000	MARKETING	-8828						
29907	2023-02-01 00:00:00.000	OUTROS CUSTOS	-2597						
11749	2023-07-01 00:00:00.000	NADA	0						
14815	2023-02-01 00:00:00.000	SOFTWARE	-3041						
8351	2023-07-01 00:00:00.000	NADA	0						
17524	2023-07-01 00:00:00.000	NADA	0						
8427	2023-08-01 00:00:00.000	NADA	0						
15836	2023-05-01 00:00:00.000	OUTROS CUSTOS	-1707						
47	2023-02-01 00:00:00.000	DESPESA COM VIAGEM	-3208						
23228	2023-07-01 00:00:00.000	SOFTWARE	-3993						
23260	2023-03-01 00:00:00.000	NADA	0						
12877	2023-09-01 00:00:00.000	DESPESA COM VIAGEM	-8423						
23151	2023-01-01 00:00:00.000	MARKETING	-9731						
5025	2023-02-01 00:00:00.000	DESPESA COM VIAGEM	-4590						
15069	2023-02-01 00:00:00.000	NADA	0						
2482	2023-05-01 00:00:00.000	NADA	0						
29907	2023-04-01 00:00:00.000	NADA	0						
23175	2023-05-01 00:00:00.000	NADA	0						
15922	2023-04-01 00:00:00.000	MARKETING	-7223						
12237	2023-01-01 00:00:00.000	NADA	0						
13225	2023-06-01 00:00:00.000	OUTROS CUSTOS	-785						
8206	2023-04-01 00:00:00.000	OUTROS CUSTOS	-2871						
14942	2023-04-01 00:00:00.000	NADA	0						
8443	2023-07-01 00:00:00.000	MARKETING	-593						
16435	2023-05-01 00:00:00.000	NADA	0						
30104	2023-01-01 00:00:00.000	NADA	0						
15172	2023-02-01 00:00:00.000	MARKETING	-5510						
10491	2023-08-01 00:00:00.000	SOFTWARE	-96						
1503	2023-01-01 00:00:00.000	OUTROS CUSTOS	-3055						
14657	2023-03-01 00:00:00.000	NADA	0						
14557	2023-05-01 00:00:00.000	MARKETING	-3951						
14537	2023-07-01 00:00:00.000	NADA	0						
15521	2023-07-01 00:00:00.000	OUTROS CUSTOS	-2435						
15497	2023-07-01 00:00:00.000	NADA	0						
9784	2023-09-01 00:00:00.000	MARKETING	-7987						
15291	2023-03-01 00:00:00.000	DESPESA COM VIAGEM	-4885						
18533	2023-02-01 00:00:00.000	OUTROS CUSTOS	-2389						
8230	2023-06-01 00:00:00.000	NADA	0						
25447	2023-05-01 00:00:00.000	SOFTWARE	-8215						
12155	2023-07-01 00:00:00.000	DESPESA COM VIAGEM	-6753						
399	2023-09-01 00:00:00.000	NADA	0						
24222	2023-05-01 00:00:00.000	OUTROS CUSTOS	-6893						
14557	2023-02-01 00:00:00.000	DESPESA COM VIAGEM	-5461						
15017	2023-05-01 00:00:00.000	DESPESA COM VIAGEM	-4080						
20807	2023-05-01 00:00:00.000	NADA	0						
8183	2023-09-01 00:00:00.000	SOFTWARE	-9239						
14539	2023-07-01 00:00:00.000	SOFTWARE	-9186						
22550	2023-02-01 00:00:00.000	SOFTWARE	-9955						
15291	2023-09-01 00:00:00.000	SOFTWARE	-3476						
1663	2023-09-01 00:00:00.000	DESPESA COM VIAGEM	-5865						
12903	2023-07-01 00:00:00.000	NADA	0						
8523	2023-09-01 00:00:00.000	OUTROS CUSTOS	-2526						
1198	2023-03-01 00:00:00.000	SOFTWARE	-9316						
14769	2023-07-01 00:00:00.000	OUTROS CUSTOS	-9575						
24245	2023-07-01 00:00:00.000	SOFTWARE	-6377						
1064	2023-02-01 00:00:00.000	NADA	0						
18711	2023-05-01 00:00:00.000	OUTROS CUSTOS	-1836						
22388	2023-03-01 00:00:00.000	MARKETING	-6233						
22388	2023-09-01 00:00:00.000	MARKETING	-3231						
16518	2023-03-01 00:00:00.000	NADA	0						
22684	2023-06-01 00:00:00.000	NADA	0						
12623	2023-08-01 00:00:00.000	DESPESA COM VIAGEM	-1076						
16056	2023-03-01 00:00:00.000	OUTROS CUSTOS	-7308						
15778	2023-04-01 00:00:00.000	DESPESA COM VIAGEM	-3483						
728612	2023-06-01 00:00:00.000	DESPESA COM VIAGEM	-4572						
14629	2023-06-01 00:00:00.000	NADA	0						
8428	2023-08-01 00:00:00.000	OUTROS CUSTOS	-1605						
13314	2023-07-01 00:00:00.000	SOFTWARE	-6701						
16333	2023-04-01 00:00:00.000	NADA	0						
29931	2023-07-01 00:00:00.000	NADA	0						
30032	2023-03-01 00:00:00.000	SOFTWARE	-5166						
5954	2023-02-01 00:00:00.000	SOFTWARE	-9857						
26293	2023-07-01 00:00:00.000	NADA	0						
10626	2023-07-01 00:00:00.000	DESPESA COM VIAGEM	-2828						
8020	2023-02-01 00:00:00.000	NADA	0						
31524	2023-05-01 00:00:00.000	OUTROS CUSTOS	-7295						
31562	2023-06-01 00:00:00.000	OUTROS CUSTOS	-5040						
31775	2023-09-01 00:00:00.000	NADA	0						
17575	2023-03-01 00:00:00.000	NADA	0						
10175	2023-05-01 00:00:00.000	DESPESA COM VIAGEM	-7319						
5028	2023-04-01 00:00:00.000	NADA	0						
31687	2023-06-01 00:00:00.000	SOFTWARE	-4559						
5506	2023-03-01 00:00:00.000	DESPESA COM VIAGEM	-2466						
31471	2023-05-01 00:00:00.000	MARKETING	-1839						
32002	2023-08-01 00:00:00.000	NADA	0						
30857	2023-01-01 00:00:00.000	SOFTWARE	-8291						
31544	2023-08-01 00:00:00.000	NADA	0						
31713	2023-07-01 00:00:00.000	OUTROS CUSTOS	-2350						
6928	2023-04-01 00:00:00.000	DESPESA COM VIAGEM	-7610						
25699	2023-07-01 00:00:00.000	DESPESA COM VIAGEM	-1271						
22859	2023-02-01 00:00:00.000	MARKETING	-5017						
31338	2023-04-01 00:00:00.000	DESPESA COM VIAGEM	-9702						
1297	2023-02-01 00:00:00.000	NADA	0						
25670	2023-06-01 00:00:00.000	OUTROS CUSTOS	-9456						
10033	2023-09-01 00:00:00.000	SOFTWARE	-5054						
5462	2023-05-01 00:00:00.000	NADA	0						
26375	2023-04-01 00:00:00.000	SOFTWARE	-5773						
28171	2023-08-01 00:00:00.000	SOFTWARE	-1375						
28826	2023-09-01 00:00:00.000	SOFTWARE	-9535						
10296	2023-05-01 00:00:00.000	DESPESA COM VIAGEM	-6724						
10695	2023-07-01 00:00:00.000	NADA	0						
30032	2023-09-01 00:00:00.000	DESPESA COM VIAGEM	-9500						
25386	2023-02-01 00:00:00.000	OUTROS CUSTOS	-5267						
12154	2023-09-01 00:00:00.000	MARKETING	-7873						
728396	2023-03-01 00:00:00.000	NADA	0						
17031	2023-06-01 00:00:00.000	OUTROS CUSTOS	-7165						
20982	2023-04-01 00:00:00.000	DESPESA COM VIAGEM	-1436						
17031	2023-07-01 00:00:00.000	OUTROS CUSTOS	-3518						
30356	2023-02-01 00:00:00.000	NADA	0						
31249	2023-05-01 00:00:00.000	NADA	0						
31163	2023-07-01 00:00:00.000	OUTROS CUSTOS	-8686						
69	2023-03-01 00:00:00.000	DESPESA COM VIAGEM	-3354						
9983	2023-09-01 00:00:00.000	SOFTWARE	-5913						
11081	2023-02-01 00:00:00.000	NADA	0						
728366	2023-03-01 00:00:00.000	OUTROS CUSTOS	-4378						
29848	2023-05-01 00:00:00.000	OUTROS CUSTOS	-4420						
23814	2023-06-01 00:00:00.000	MARKETING	-1957						
27305	2023-09-01 00:00:00.000	NADA	0						
23886	2023-04-01 00:00:00.000	NADA	0						
11681	2023-03-01 00:00:00.000	NADA	0						
22817	2023-03-01 00:00:00.000	OUTROS CUSTOS	-7892						
31373	2023-07-01 00:00:00.000	DESPESA COM VIAGEM	-9238						
5473	2023-02-01 00:00:00.000	NADA	0						
12989	2023-09-01 00:00:00.000	NADA	0						
31167	2023-09-01 00:00:00.000	SOFTWARE	-6590						
25671	2023-01-01 00:00:00.000	OUTROS CUSTOS	-8636						
28917	2023-05-01 00:00:00.000	MARKETING	-5135						
29617	2023-06-01 00:00:00.000	DESPESA COM VIAGEM	-8947						
31987	2023-08-01 00:00:00.000	DESPESA COM VIAGEM	-6914						
21118	2023-08-01 00:00:00.000	NADA	0						
11837	2023-04-01 00:00:00.000	NADA	0						
24080	2023-02-01 00:00:00.000	OUTROS CUSTOS	-3486						
7554	2023-03-01 00:00:00.000	NADA	0						
13158	2023-09-01 00:00:00.000	NADA	0						
30809	2023-08-01 00:00:00.000	MARKETING	-6294						
31942	2023-08-01 00:00:00.000	MARKETING	-4082						
26145	2023-02-01 00:00:00.000	MARKETING	-4886						
14030	2023-06-01 00:00:00.000	OUTROS CUSTOS	-6584						
28056	2023-08-01 00:00:00.000	OUTROS CUSTOS	-5301						
22179	2023-09-01 00:00:00.000	NADA	0						
27510	2023-08-01 00:00:00.000	SOFTWARE	-6804						
28087	2023-07-01 00:00:00.000	DESPESA COM VIAGEM	-8810						
27751	2023-06-01 00:00:00.000	MARKETING	-1819						
18892	2023-03-01 00:00:00.000	SOFTWARE	-1657						
29937	2023-06-01 00:00:00.000	OUTROS CUSTOS	-5526						
28660	2023-06-01 00:00:00.000	SOFTWARE	-4093						
27899	2023-02-01 00:00:00.000	SOFTWARE	-2841						
29983	2023-05-01 00:00:00.000	MARKETING	-9620						
31197	2023-03-01 00:00:00.000	NADA	0						
9697	2023-04-01 00:00:00.000	OUTROS CUSTOS	-1588						
30842	2023-01-01 00:00:00.000	SOFTWARE	-5720						
3215	2023-09-01 00:00:00.000	NADA	0						
2954	2023-04-01 00:00:00.000	MARKETING	-6582						
19289	2023-06-01 00:00:00.000	DESPESA COM VIAGEM	-6391						
13881	2023-08-01 00:00:00.000	NADA	0						
32136	2023-09-01 00:00:00.000	DESPESA COM VIAGEM	-9193						
18763	2023-06-01 00:00:00.000	MARKETING	-7720						
30020	2023-08-01 00:00:00.000	NADA	0						
31717	2023-06-01 00:00:00.000	OUTROS CUSTOS	-170						
21063	2023-09-01 00:00:00.000	NADA	0						
28089	2023-06-01 00:00:00.000	NADA	0						
24476	2023-06-01 00:00:00.000	DESPESA COM VIAGEM	-4761						
11474	2023-08-01 00:00:00.000	NADA	0						
24376	2023-05-01 00:00:00.000	NADA	0						
28806	2023-06-01 00:00:00.000	DESPESA COM VIAGEM	-2047						
11779	2023-05-01 00:00:00.000	SOFTWARE	-8207						
20373	2023-03-01 00:00:00.000	MARKETING	-3112						
27921	2023-03-01 00:00:00.000	MARKETING	-7815						
30972	2023-02-01 00:00:00.000	NADA	0						
31245	2023-05-01 00:00:00.000	SOFTWARE	-4699						
728366	2023-09-01 00:00:00.000	NADA	0						
27151	2023-02-01 00:00:00.000	SOFTWARE	-9027						
31080	2023-02-01 00:00:00.000	OUTROS CUSTOS	-5588						
12780	2023-01-01 00:00:00.000	NADA	0						
5824	2023-06-01 00:00:00.000	SOFTWARE	-2823						
17214	2023-07-01 00:00:00.000	SOFTWARE	-7033						
26227	2023-08-01 00:00:00.000	MARKETING	-8115						
11329	2023-07-01 00:00:00.000	NADA	0						
22042	2023-08-01 00:00:00.000	NADA	0						
24363	2023-04-01 00:00:00.000	NADA	0						
30041	2023-07-01 00:00:00.000	NADA	0						
28463	2023-03-01 00:00:00.000	DESPESA COM VIAGEM	-7514						
25941	2023-08-01 00:00:00.000	OUTROS CUSTOS	-7947						
29365	2023-04-01 00:00:00.000	DESPESA COM VIAGEM	-5987						
22178	2023-01-01 00:00:00.000	DESPESA COM VIAGEM	-833						
30097	2023-07-01 00:00:00.000	OUTROS CUSTOS	-7912						
25644	2023-08-01 00:00:00.000	OUTROS CUSTOS	-5450						
728543	2023-05-01 00:00:00.000	SOFTWARE	-8507						
31160	2023-06-01 00:00:00.000	MARKETING	-9194						
10899	2023-01-01 00:00:00.000	MARKETING	-108						
13101	2023-02-01 00:00:00.000	MARKETING	-6333						
13046	2023-06-01 00:00:00.000	NADA	0						
728341	2023-09-01 00:00:00.000	DESPESA COM VIAGEM	-9756						
28853	2023-02-01 00:00:00.000	OUTROS CUSTOS	-3677						
29062	2023-04-01 00:00:00.000	MARKETING	-3216						
19665	2023-04-01 00:00:00.000	SOFTWARE	-1072						
15641	2023-04-01 00:00:00.000	NADA	0						
27154	2023-06-01 00:00:00.000	MARKETING	-5262						
30059	2023-02-01 00:00:00.000	MARKETING	-4703						
12334	2023-08-01 00:00:00.000	DESPESA COM VIAGEM	-9077						
13326	2023-03-01 00:00:00.000	SOFTWARE	-6341						
69	2023-07-01 00:00:00.000	MARKETING	-3710						
11585	2023-07-01 00:00:00.000	NADA	0						
14544	2023-03-01 00:00:00.000	NADA	0						
3400	2023-07-01 00:00:00.000	NADA	0						
25520	2023-08-01 00:00:00.000	SOFTWARE	-6179						
8480	2023-08-01 00:00:00.000	DESPESA COM VIAGEM	-7602						
1601	2023-07-01 00:00:00.000	SOFTWARE	-9675						
15293	2023-04-01 00:00:00.000	SOFTWARE	-939						
8045	2023-09-01 00:00:00.000	DESPESA COM VIAGEM	-8314						
1651	2023-07-01 00:00:00.000	MARKETING	-4345						
15208	2023-03-01 00:00:00.000	OUTROS CUSTOS	-9344						
14500	2023-04-01 00:00:00.000	OUTROS CUSTOS	-9042						
14845	2023-07-01 00:00:00.000	OUTROS CUSTOS	-4445						
15245	2023-03-01 00:00:00.000	SOFTWARE	-1068						
23152	2023-07-01 00:00:00.000	SOFTWARE	-49						
8294	2023-09-01 00:00:00.000	MARKETING	-6128						
29716	2023-01-01 00:00:00.000	NADA	0						
29768	2023-01-01 00:00:00.000	OUTROS CUSTOS	-9860						
5109	2023-03-01 00:00:00.000	MARKETING	-1056						
14927	2023-09-01 00:00:00.000	OUTROS CUSTOS	-1328						
24354	2023-09-01 00:00:00.000	DESPESA COM VIAGEM	-1416						
15040	2023-06-01 00:00:00.000	NADA	0						
14693	2023-09-01 00:00:00.000	DESPESA COM VIAGEM	-2632						
24732	2023-01-01 00:00:00.000	MARKETING	-7979						
24861	2023-03-01 00:00:00.000	OUTROS CUSTOS	-7634						
25527	2023-01-01 00:00:00.000	OUTROS CUSTOS	-274						
27667	2023-02-01 00:00:00.000	MARKETING	-2028						
1063	2023-02-01 00:00:00.000	NADA	0						
22941	2023-03-01 00:00:00.000	NADA	0						
29274	2023-05-01 00:00:00.000	OUTROS CUSTOS	-1999						
13565	2023-04-01 00:00:00.000	DESPESA COM VIAGEM	-5503						
22474	2023-04-01 00:00:00.000	NADA	0						
23711	2023-05-01 00:00:00.000	SOFTWARE	-583						
12893	2023-06-01 00:00:00.000	NADA	0						
25095	2023-06-01 00:00:00.000	NADA	0						
30790	2023-08-01 00:00:00.000	OUTROS CUSTOS	-4733						
19859	2023-07-01 00:00:00.000	NADA	0						
12892	2023-07-01 00:00:00.000	DESPESA COM VIAGEM	-1095						
18409	2023-07-01 00:00:00.000	DESPESA COM VIAGEM	-7044						
31371	2023-07-01 00:00:00.000	MARKETING	-178						
26093	2023-09-01 00:00:00.000	NADA	0						
24888	2023-06-01 00:00:00.000	NADA	0						
12433	2023-02-01 00:00:00.000	DESPESA COM VIAGEM	-6902						
30352	2023-03-01 00:00:00.000	OUTROS CUSTOS	-9017						
22179	2023-03-01 00:00:00.000	OUTROS CUSTOS	-1512						
26475	2023-03-01 00:00:00.000	SOFTWARE	-3114						
13917	2023-04-01 00:00:00.000	OUTROS CUSTOS	-723						
31710	2023-08-01 00:00:00.000	NADA	0						
30016	2023-08-01 00:00:00.000	DESPESA COM VIAGEM	-4294						
28306	2023-07-01 00:00:00.000	SOFTWARE	-4510						
30920	2023-07-01 00:00:00.000	DESPESA COM VIAGEM	-5244						
15591	2023-07-01 00:00:00.000	SOFTWARE	-4805						
29799	2023-02-01 00:00:00.000	NADA	0						
23044	2023-04-01 00:00:00.000	SOFTWARE	-3943						
4105	2023-03-01 00:00:00.000	OUTROS CUSTOS	-9754						
29797	2023-04-01 00:00:00.000	NADA	0						
13909	2023-05-01 00:00:00.000	OUTROS CUSTOS	-1799						
11352	2023-06-01 00:00:00.000	OUTROS CUSTOS	-6						
31724	2023-08-01 00:00:00.000	NADA	0						
15032	2023-09-01 00:00:00.000	MARKETING	-6550						
28419	2023-08-01 00:00:00.000	NADA	0						
728431	2023-09-01 00:00:00.000	SOFTWARE	-3716						
23556	2023-01-01 00:00:00.000	OUTROS CUSTOS	-9295						
30097	2023-03-01 00:00:00.000	DESPESA COM VIAGEM	-3983						
30262	2023-03-01 00:00:00.000	DESPESA COM VIAGEM	-991						
728327	2023-06-01 00:00:00.000	NADA	0						
12119	2023-04-01 00:00:00.000	OUTROS CUSTOS	-6170						
14078	2023-03-01 00:00:00.000	SOFTWARE	-4245						
9360	2023-03-01 00:00:00.000	NADA	0						
728376	2023-08-01 00:00:00.000	SOFTWARE	-7938						
7901	2023-04-01 00:00:00.000	OUTROS CUSTOS	-7976						
5113	2023-09-01 00:00:00.000	MARKETING	-7175						
